 Position.x[m] Position.z[m]
384999994.5001783967 65075.8220401252
384999994.4828424454 65178.3036486589
384999994.4654793143 65280.7852571880
384999994.4480888247 65383.2668657125
384999994.4306710362 65485.7484742323
384999994.4132260084 65588.2300827475
384999994.3957537413 65690.7116912581
384999994.3782541156 65793.1932997640
384999994.3607272506 65895.6749082652
384999994.3431731462 65998.1565167618
384999994.3255916834 66100.6381252537
384999994.3079829812 66203.1197337409
384999994.2903470397 66305.6013422234
384999994.2726837397 66408.0829507012
384999994.2549932003 66510.5645591744
384999994.2372754216 66613.0461676428
384999994.2195302844 66715.5277761064
384999994.2017579079 66818.0093845654
384999994.1839582324 66920.4909930196
384999994.1661313176 67022.9726014691
384999994.1482771039 67125.4542099138
384999994.1303955913 67227.9358183538
384999994.1124868393 67330.4174267890
384999994.0945507288 67432.8990352194
384999994.0765874386 67535.3806436451
384999994.0585967898 67637.8622520660
384999994.0405789614 67740.3438604821
384999994.0225337744 67842.8254688933
384999994.0044612885 67945.3070772998
384999993.9863615632 68047.7886857015
384999993.9682345390 68150.2702940983
384999993.9500802755 68252.7519024903
384999993.9318987131 68355.2335108775
384999993.9136898518 68457.7151192598
384999993.8954537511 68560.1967276373
384999993.8771903515 68662.6783360100
384999993.8588996530 68765.1599443777
384999993.8405817151 68867.6415527406
384999993.8222364783 68970.1231610986
384999993.8038639426 69072.6047694517
384999993.7854641676 69175.0863778000
384999993.7670370340 69277.5679861433
384999993.7485827208 69380.0495944817
384999993.7301010489 69482.5312028152
384999993.7115921378 69585.0128111438
384999993.6930559278 69687.4944194674
384999993.6744924784 69789.9760277861
384999993.6559017301 69892.4576360999
384999993.6372836828 69994.9392444087
384999993.6186383367 70097.4208527126
384999993.5999658108 70199.9024610115
384999993.5812658668 70302.3840693054
384999993.5625388026 70404.8656775943
384999993.5437843204 70507.3472858782
384999993.5250026584 70609.8288941572
384999993.5061936378 70712.3105024311
384999993.4873573780 70814.7921107001
384999993.4684938192 70917.2737189640
384999993.4496030211 71019.7553272229
384999993.4306849241 71122.2369354767
384999993.4117395282 71224.7185437255
384999993.3927668333 71327.2001519693
384999993.3737668991 71429.6817602080
384999993.3547396660 71532.1633684417
384999993.3356851935 71634.6449766703
384999993.3166034222 71737.1265848938
384999993.2974943519 71839.6081931122
384999993.2783579826 71942.0898013256
