Time[s] Mass[kg] Fuel[kg] FuelUsage[kg/s] Posx(t)[m] Posy(t)[m] Posz(t)[m] Velx(t)[m/s] Vely(t)[m/s] Velz(t)[m/s] EngineFx[N] EngineFy[N] EngineFz[N] NetFx[N] NetFy[N] NetFz[N] EKinx[J] EKiny[J] EKinz[J] EPotx[J] EPoty[J] EPotz[J] Method
18.4 9815 315 10 8.703312091 0 0 0.9337103866 0 0 500 0 0 500 0 0 4582.183722 0 0 0 0 0 2
18.5 9814 314 10 8.797447344 0 0 0.9388051492 0 0 500 0 0 500 0 0 4606.716867 0 0 0 0 0 2
18.6 9813 313 10 8.892092152 0 0 0.943900431 0 0 500 0 0 500 0 0 4631.247465 0 0 0 0 0 2
18.7 9812 312 10 8.987246565 0 0 0.948996232 0 0 500 0 0 500 0 0 4655.775514 0 0 0 0 0 2
18.8 9811 311 10 9.082910636 0 0 0.9540925525 0 0 500 0 0 500 0 0 4680.301016 0 0 0 0 0 2
18.9 9810 310 10 9.179084417 0 0 0.9591893924 0 0 500 0 0 500 0 0 4704.82397 0 0 0 0 0 2
19 9809 309 10 9.275767961 0 0 0.964286752 0 0 500 0 0 500 0 0 4729.344375 0 0 0 0 0 2
19.1 9808 308 10 9.372961318 0 0 0.9693846313 0 0 500 0 0 500 0 0 4753.862232 0 0 0 0 0 2
19.2 9807 307 10 9.470664541 0 0 0.9744830304 0 0 500 0 0 500 0 0 4778.37754 0 0 0 0 0 2
19.3 9806 306 10 9.568877682 0 0 0.9795819494 0 0 500 0 0 500 0 0 4802.890298 0 0 0 0 0 2
19.4 9805 305 10 9.667600792 0 0 0.9846813885 0 0 500 0 0 500 0 0 4827.400507 0 0 0 0 0 2
19.5 9804 304 10 9.766833925 0 0 0.9897813477 0 0 500 0 0 500 0 0 4851.908166 0 0 0 0 0 2
19.6 9803 303 10 9.866577132 0 0 0.9948818271 0 0 500 0 0 500 0 0 4876.413276 0 0 0 0 0 2
19.7 9802 302 10 9.966830465 0 0 0.9999828269 0 0 500 0 0 500 0 0 4900.915835 0 0 0 0 0 2
19.8 9801 301 10 10.06759398 0 0 1.005084347 0 0 500 0 0 500 0 0 4925.415843 0 0 0 0 0 2
19.9 9800 300 10 10.16886772 0 0 1.010186388 0 0 500 0 0 500 0 0 4949.913301 0 0 0 0 0 2
20 9799 299 10 10.27065174 0 0 1.015288949 0 0 500 0 0 500 0 0 4974.408208 0 0 0 0 0 2
20.1 9798 298 10 10.3729461 0 0 1.020392032 0 0 500 0 0 500 0 0 4998.900564 0 0 0 0 0 2
20.2 9797 297 10 10.47575084 0 0 1.025495635 0 0 500 0 0 500 0 0 5023.390368 0 0 0 0 0 2
20.3 9796 296 10 10.57906602 0 0 1.030599759 0 0 500 0 0 500 0 0 5047.87762 0 0 0 0 0 2
20.4 9795 295 10 10.68289169 0 0 1.035704404 0 0 500 0 0 500 0 0 5072.36232 0 0 0 0 0 2
20.5 9794 294 10 10.78722791 0 0 1.040809571 0 0 500 0 0 500 0 0 5096.844468 0 0 0 0 0 2
20.6 9793 293 10 10.89207472 0 0 1.045915258 0 0 500 0 0 500 0 0 5121.324063 0 0 0 0 0 2
20.7 9792 292 10 10.99743218 0 0 1.051021468 0 0 500 0 0 500 0 0 5145.801105 0 0 0 0 0 2
20.8 9791 291 10 11.10330033 0 0 1.056128198 0 0 500 0 0 500 0 0 5170.275594 0 0 0 0 0 2
20.9 9790 290 10 11.20967924 0 0 1.061235451 0 0 500 0 0 500 0 0 5194.74753 0 0 0 0 0 2
21 9789 289 10 11.31656895 0 0 1.066343225 0 0 500 0 0 500 0 0 5219.216913 0 0 0 0 0 2
